"","year","r2.n.t","r2.u.t","r2.n.p","r2.u.p","R2.unexp","intercept","axis1","axis2","axis3","axis4","axis5","axis1_2","axis2_2","axis3_2","axis4_2","axis5_2"
"1",2005,0.815769825845612,0.815769825845612,0.370693827101521,0.00943793186797227,0.185985492561616,-8.69596922181571,-5.10071599758451,-3.5413977567876,-8.28904974437874,1.06906757072294,6.42603396355976,-31.4752235560244,-8.35731432446078,3.49402258210717,-65.6596634337911,6.23247003931301
"2",2006,0.851885304680476,0.851885304680476,0.369300813124875,0.0041842600365934,0.148737049813017,-9.95571961079991,-4.23302605430254,-5.15369687039971,2.28393179440799,-0.845482207380833,1.39074851328486,7.77854675460169,-38.204557653413,68.1393042935228,40.3458067450368,15.6277976669329
"3",2007,0.605242060808311,0.605242060808311,0.365906216362864,0.00248439300918691,0.395741115652865,-8.93193102515784,-1.60386901319026,-4.90886403013839,-0.859543442249687,1.60946957203741,3.58693942053771,-12.3357782624593,-20.5120519112819,45.6022738074295,-0.797011853121051,5.68255241614618
"4",2008,0.549750873469688,0.549750873469688,0.365294762356767,0.00295326751367692,0.451582771258406,-7.98080688141761,0.546086680215738,1.5880794883622,0.887287619230475,1.70261872195209,1.90602974237251,-18.0721422242156,6.58094306787476,-10.7084011248498,-57.3592406842454,20.4814309696535
"5",2009,0.480028511612974,0.480028511612974,0.367626784184799,0.00238327617370227,0.521213684542804,-8.2050577530474,-0.900824341716972,-0.0696158520524467,2.00166833725686,3.44187863362208,0.175607199361688,-12.9918859176554,0.217973174218318,9.59305454918625,-11.6516537801176,5.32357623947226
"6",2010,0.51966895248894,0.51966895248894,0.365530693020328,0.00271931004510382,0.481640778117126,-7.99198598708451,-0.505956683914864,-2.23049740392858,2.61894268834678,1.47019406108944,1.34929153155923,-14.8435896992857,-11.8353379950247,2.13160775387855,-4.66301019191281,-12.0926836295528
"7",2011,0.541364743928677,0.541364743928677,0.367425700323651,0.0036436054009657,0.460312453011246,-8.32148141303987,-0.31466025219334,-1.92522015353997,1.35901304874155,2.40061693684019,2.61051944105747,-3.57322676660144,-0.0151035699693662,-0.100434232235735,-45.2515408680377,3.88115463842873
"8",2012,0.444625644616878,0.444625644616878,0.36556474889137,0.00275715055867405,0.556909839658668,-8.76908021107334,-0.724508272813505,-0.0754514514327469,2.90957743264326,1.98529681359836,-0.216772933038556,6.0055074154129,3.6114890760737,3.67804516034777,-25.7049920386315,14.3702845957021
"9",2013,0.497334855069384,0.497334855069384,0.365235220030093,0.00274611679044566,0.50404932324038,-8.28004634162734,-1.25572387432943,-1.92815277135102,0.861011352984406,-0.974535120828066,3.49986397721505,-3.10838073116775,2.87256540167127,-3.74154485987805,-23.6516324747854,4.76828770831822
"10",2014,0.704468802959621,0.704468802959621,0.367042525608795,0.00368124245561154,0.296623138731996,-8.30636259813416,-3.49683385116757,-2.05584375500244,-0.11484409327047,-2.03133516613696,3.00479463225427,-17.2954014042581,-1.56593999841166,-1.93408237145082,-76.4079504844891,5.0564425343859
"11",2015,0.669197087086288,0.669197087086288,0.366556456349812,0.00233990758267343,0.331578776607349,-8.18056794655746,-2.71525185020503,-1.95761663109983,-1.10275351873671,-0.303175670030174,2.33396331542763,-4.43524336529782,-14.795024093589,-5.27566856905844,-17.3887404031059,-1.4463326299783
"12",2016,0.890958904371825,0.890958904371825,0.365395571011592,0.00261774567222358,0.109327286659685,-8.31618051195788,-10.8292303772554,-1.52460224381078,-2.83563200399251,2.32042877408395,5.05020325268008,-46.6888805198067,-3.83181786103071,5.84616144296817,-111.513854977981,4.24503966508706
"13",2017,0.728654278402849,0.728654278402849,0.363390159507774,0.00316721472999493,0.272207862348401,-8.3357157618709,-4.3266467612353,-4.18505683774072,-0.410540399481206,-0.734935989316581,3.760294897275,-5.97255162115314,-13.8274106120004,16.7884117471155,-63.1229759675821,0.964708810266499
"14",2018,0.705215365659414,0.705215365659414,0.36380620199777,0.00281950280375385,0.295618130488339,-8.11921113369416,-3.53003647811916,-0.649668853270132,-0.522756220998732,0.743690577192345,0.798020768990557,-8.70534335862842,0.16855986980425,5.37218874445722,-66.7263687002184,-7.61990303833355
"15",2019,0.569474544547567,0.569474544547567,0.363500521035207,0.00169292152887829,0.431255537235868,-7.74730961422297,-3.10385274717688,-1.28792491073533,2.28285461651694,-2.55525466079266,2.85321796526282,-10.8344785383527,-6.33474984496444,1.66991928928976,-29.7265976696155,-10.045067344769
"16",2020,0.517478147165601,0.517478147165601,0.363979277215853,0.00184889003946953,0.483415635187221,-8.31643595850852,-1.73007262312137,-2.4168613104932,-0.113806766909694,-1.27419197303105,3.23970944961349,-3.05639526633399,-7.70332981497985,15.1063239012511,-10.6919262964582,8.51479749027092
"17",2021,0.536078914429589,0.536078914429589,0.36292604851235,0.00182103210588229,0.464767442004069,-8.25459149633008,-1.75723864857817,-3.37860406278298,-0.75355303503361,-2.24983871248131,2.42933464829552,1.48669098366099,-2.32741156109593,4.36306028195528,-25.6381783289222,0.684670560574568
"18",2022,0.595356068463239,0.595356068463239,0.364073482141243,0.00178570106893014,0.405367797245613,-8.06374692109584,-1.43855847290855,-2.41605086413283,1.20919081968898,-0.511077840951457,3.0004555941023,4.3762882640257,-17.7538887781432,12.5492210417919,-23.125838845708,1.34261171592054
"19",2023,0.280462245263744,0.280462245263744,0.363221747760519,0.00170798457822085,0.720768816759744,-8.54150700162457,0.950206333256226,0.831342119264387,0.742030369636523,2.02796057214189,-0.85860491770327,23.49627081988,7.87399919432489,-14.5923450654175,0.944161681941435,30.6395410786178
